Date,Price,Open,High,Low,Vol.,Change %,Return,MA10,MA20,MA50,MA200,Volatility20,Price_lag1,Price_lag5,RSI,MACD,Signal,Year,Month,DayOfWeek
2021-11-19,148.93,149.98,150.97,148.9,33700000.0,-0.0060999999999999995,-0.006073144687666843,148.144,146.5485,142.33180000000002,125.16365,0.016049980129884144,149.84,148.68,67.66428106701368,2.015723150842547,2.013057180819189,2021,11,Friday
2021-11-22,146.3,149.33,149.83,146.15,30630000.0,-0.0176,-0.017659303028268236,147.871,146.991,142.4112,125.374,0.016747291755550814,148.93,148.45,52.70690728064718,1.7514510767734635,1.9607359600100438,2021,11,Monday
2021-11-23,145.78,146.15,146.66,144.12,27230000.0,-0.0036,-0.0035543403964457543,147.557,147.3145,142.476,125.58404999999999,0.016630945438539796,146.3,147.88,47.34111543450067,1.4829592685794921,1.8651806217239335,2021,11,Tuesday
2021-11-24,146.12,145.47,146.25,144.37,18040000.0,0.0023,0.002332281520098789,147.58,147.30949999999999,142.50979999999998,125.79305000000001,0.012387849777340794,145.78,148.05,42.370475514549305,1.282825125195842,1.7487095224183153,2021,11,Wednesday
2021-11-26,142.18,144.35,144.56,141.84,30470000.0,-0.0269,-0.026964139063783144,147.221,147.126,142.4812,125.98174999999999,0.01378107271274132,146.12,149.84,30.888252148997182,0.7971037863602533,1.5583883752067031,2021,11,Friday
2021-11-29,145.53,144.0,146.3,143.89,32600000.0,0.0235,0.023561682374454884,146.906,147.0,142.5758,126.18565000000001,0.014423162141097668,142.18,148.93,41.51309408341416,0.674705543268459,1.3816518088190544,2021,11,Monday
2021-11-30,141.9,145.01,146.0,141.6,42070000.0,-0.025,-0.024943310657596363,146.251,146.92000000000002,142.6394,126.36744999999999,0.013836057575319584,145.53,146.3,35.45981772990889,0.2815478822333546,1.1616310235019145,2021,11,Tuesday
2021-12-01,141.05,144.0,145.95,140.91,34060000.0,-0.006,-0.005990133897110561,145.568,146.701,142.6798,126.54305000000001,0.013485176799982831,141.9,145.78,38.979963570127545,-0.09749641495631067,0.9098055358102695,2021,12,Wednesday
2021-12-02,142.97,141.25,143.86,140.21,29190000.0,0.013600000000000001,0.013612194257355492,145.06,146.5195,142.7336,126.73145000000001,0.013746223547651615,141.05,146.12,44.10774410774408,-0.2401949792507594,0.6798054327980637,2021,12,Thursday
2021-12-03,142.0,143.68,144.4,140.3,41230000.0,-0.0067,-0.006784640134293918,144.276,146.206,142.7492,126.91924999999999,0.013470609100858205,142.97,142.18,34.69294225481208,-0.4266375013702941,0.4585168459643922,2021,12,Friday
2021-12-06,143.15,143.04,143.85,140.15,30620000.0,0.008100000000000001,0.008098591549295708,143.698,145.921,142.768,127.12145000000001,0.013600395811238602,142.0,145.53,38.34652594547055,-0.47611084489562927,0.27159130779238794,2021,12,Monday
2021-12-07,147.27,145.6,147.53,145.23,32240000.000000004,0.0287,0.02878099895214814,143.79500000000002,145.833,142.892,127.34275,0.01522810933233011,143.15,141.9,48.839863065804515,-0.18078527820014756,0.18111599059388084,2021,12,Tuesday
2021-12-08,148.19,147.6,148.39,146.41,24270000.0,0.0062,0.00624702926597398,144.036,145.79649999999998,143.1392,127.56275,0.01530189072603346,147.27,141.05,50.25887573964495,0.1260456960279157,0.17010193168068782,2021,12,Wednesday
2021-12-09,147.64,147.59,149.1,147.12,23270000.0,-0.0037,-0.0037114515149471172,144.18800000000002,145.884,143.405,127.79695,0.014580522387149577,148.19,142.97,45.7364341085271,0.321129271892886,0.20030739972312747,2021,12,Thursday
2021-12-10,148.0,148.7,148.98,146.7,24460000.0,0.0025,0.00243836358710392,144.77,145.9955,143.6914,128.03145,0.014580864687849818,147.64,142.0,48.158415841584144,0.499030885212818,0.2600520968210656,2021,12,Friday
2021-12-13,145.83,147.78,147.97,145.52,27070000.0,-0.0147,-0.014662162162162096,144.8,145.853,143.87720000000002,128.2432,0.014245082162794133,148.0,143.15,49.05203711173861,0.4596201163300293,0.2999657007228584,2021,12,Monday
2021-12-14,143.91,143.97,144.48,141.21,38450000.0,-0.0132,-0.013166015223205263,145.001,145.626,144.0822,128.44665,0.014508595661198583,145.83,147.27,46.4299350897289,0.27034250405625926,0.29404106138953856,2021,12,Tuesday
2021-12-15,146.44,143.41,146.72,141.68,36370000.0,0.0176,0.0175804322145785,145.54000000000002,145.55400000000003,144.29059999999998,128.67600000000002,0.015101538423909254,143.91,148.19,50.56377730796334,0.3207906140519299,0.29939097192201686,2021,12,Wednesday
2021-12-16,144.45,147.17,147.68,143.61,33650000.0,-0.013600000000000001,-0.013589183283255979,145.68800000000002,145.374,144.4282,128.88975,0.015379975222583473,146.44,147.64,54.294362466893645,0.19791331431576964,0.2790954404007674,2021,12,Thursday
